countryName,Country_code,2020
Aruba,ABW,23384.2987907455
Africa Eastern and Southern,AFE,1360.87864476883
Afghanistan,AFG,516.747870807558
Africa Western and Central,AFW,1709.76412923861
Angola,AGO,1631.43169087951
Albania,ALB,5332.16047456847
Andorra,AND,37416.6977203275
Arab World,ARB,5724.28687023385
United Arab Emirates,ARE,36284.5552429552
Argentina,ARG,8585.69474249794
Armenia,ARM,4266.01807420946
American Samoa,ASM,12844.9009909959
Antigua and Barbuda,ATG,13992.7444804497
Australia,AUS,51680.3165229438
Austria,AUT,48588.6593847921
Azerbaijan,AZE,4229.91064904503
Burundi,BDI,233.837510306669
Belgium,BEL,45189.3669003126
Benin,BEN,1291.04097215441
Burkina Faso,BFA,857.932729650223
Bangladesh,BGD,2270.34753479166
Bulgaria,BGR,10079.2033812203
Bahrain,BHR,20406.5023256629
"Bahamas, The",BHS,24665.0968345675
Bosnia and Herzegovina,BIH,6082.36673041923
Belarus,BLR,6555.42681826316
Belize,BLZ,3987.79659612067
Bermuda,BMU,107706.039785266
Bolivia,BOL,3137.98961744018
Brazil,BRA,6814.87563196772
Barbados,BRB,16318.7481052701
Brunei Darussalam,BRN,27442.95382794
Bhutan,BTN,3000.77798595652
Botswana,BWA,6348.83231765626
Central African Republic,CAF,481.746296629034
Canada,CAN,43258.2638715601
Central Europe and the Baltics,CEB,16197.2993493424
Switzerland,CHE,87100.4148213751
Channel Islands,CHI,
Chile,CHL,13220.5707580419
China,CHN,10408.6697561349
Cote d'Ivoire,CIV,2325.72370502247
Cameroon,CMR,1537.13021832773
"Congo, Dem. Rep.",COD,543.950392515803
"Congo, Rep.",COG,1899.77823742106
Colombia,COL,5312.19855554985
Comoros,COM,1407.40927043446
Cabo Verde,CPV,3064.27238842819
Costa Rica,CRI,12201.9260332666
Caribbean small states,CSS,8857.87092186091
Cuba,CUB,9477.85287326771
Curacao,CUW,16109.8616665506
Cayman Islands,CYM,85346.7619526658
Cyprus,CYP,27681.56640625
Czechia,CZE,22933.4995909236
Germany,DEU,46252.6893044892
Djibouti,DJI,3219.70112779347
Dominica,DMA,7003.85902147233
Denmark,DNK,61063.3164304238
Dominican Republic,DOM,7268.1969096591
Algeria,DZA,3306.85820838104
East Asia & Pacific (excluding high income),EAP,8270.4551375631
Early-demographic dividend,EAR,3253.71345552774
East Asia & Pacific,EAS,11483.599313849
Europe & Central Asia (excluding high income),ECA,7435.16074761498
Europe & Central Asia,ECS,23981.0220068683
Ecuador,ECU,5627.77227986528
"Egypt, Arab Rep.",EGY,3569.20684121108
Euro area,EMU,38012.6672881035
Eritrea,ERI,
Spain,ESP,27056.4217512166
Estonia,EST,23054.3584905978
Ethiopia,ETH,936.45075756247
European Union,EUU,34191.8282529314
Fragile and conflict affected situations,FCS,1743.36711268666
Finland,FIN,49160.8371522596
Fiji,FJI,5102.84392924983
France,FRA,39037.1226309074
Faroe Islands,FRO,66320.6791976778
"Micronesia, Fed. Sts.",FSM,3542.96978797168
Gabon,GAB,6881.71422533521
United Kingdom,GBR,41098.0786527828
Georgia,GEO,4255.74299321254
Ghana,GHA,2254.15388897604
Gibraltar,GIB,
Guinea,GIN,1078.95000622281
"Gambia, The",GMB,757.413111611389
Guinea-Bissau,GNB,727.520171719562
Equatorial Guinea,GNQ,7198.33588370688
Greece,GRC,17647.2326882744
Grenada,GRD,9273.19929177393
Greenland,GRL,54570.3750190141
Guatemala,GTM,4603.33964340645
Guam,GUM,34624.3401290414
Guyana,GUY,6955.93921717789
High income,HIC,43282.4234611717
"Hong Kong SAR, China",HKG,46100.975872923
Honduras,HND,2405.73284775141
Heavily indebted poor countries (HIPC),HPC,975.474261768968
Croatia,HRV,14132.4865609499
Haiti,HTI,1272.36799204205
Hungary,HUN,16075.9732662505
IBRD only,IBD,6176.40377048976
IDA & IBRD total,IBT,4925.38124212598
IDA total,IDA,1365.04784292945
IDA blend,IDB,1740.60380824477
Indonesia,IDN,3870.55761979249
IDA only,IDX,1175.58660508453
Isle of Man,IMN,
India,IND,1933.1010689481
Not classified,INX,
Ireland,IRL,85422.5428682266
"Iran, Islamic Rep.",IRN,2756.74997687567
Iraq,IRQ,4583.7474936713
Iceland,ISL,59264.0340913145
Israel,ISR,44177.5712248445
Italy,ITA,31834.9726184046
Jamaica,JAM,4664.53024222133
Jordan,JOR,4282.76582461621
Japan,JPN,39918.1675583443
Kazakhstan,KAZ,9121.63713797145
Kenya,KEN,1872.12402649219
Kyrgyz Republic,KGZ,1182.52170043018
Cambodia,KHM,1547.51138764424
Kiribati,KIR,1514.59105909467
St. Kitts and Nevis,KNA,18440.8536789158
"Korea, Rep.",KOR,31597.5046490718
Kuwait,KWT,24811.7697100231
Latin America & Caribbean (excluding high income),LAC,6765.53277629677
Lao PDR,LAO,2608.98283307549
Lebanon,LBN,3801.79274268223
Liberia,LBR,601.063005802862
Libya,LBY,7614.32544908885
St. Lucia,LCA,8804.56108865238
Latin America & Caribbean,LCN,7270.70358438419
Least developed countries: UN classification,LDC,1099.20156053236
Low income,LIC,703.733845480583
Liechtenstein,LIE,
Sri Lanka,LKA,3694.0409479198
Lower middle income,LMC,2285.71110749433
Low & middle income,LMY,4759.77608177317
Lesotho,LSO,1050.63163365737
Late-demographic dividend,LTE,9699.0893745314
Lithuania,LTU,20232.3020358588
Luxembourg,LUX,116356.158037286
Latvia,LVA,17703.9534432332
"Macao SAR, China",MAC,39403.1359073362
St. Martin (French part),MAF,
Morocco,MAR,3058.69165039063
Monaco,MCO,173688.189360292
Moldova,MDA,4525.75965363511
Madagascar,MDG,477.613041384398
Maldives,MDV,6924.10574465625
Middle East & North Africa,MEA,6688.08727950427
Mexico,MEX,8431.66501744762
Marshall Islands,MHL,4129.850998412
Middle income,MIC,5237.02247349621
North Macedonia,MKD,5846.46589856854
Mali,MLI,862.453012011092
Malta,MLT,28946.4626770412
Myanmar,MMR,1450.66267347182
Middle East & North Africa (excluding high income),MNA,3190.32509710122
Montenegro,MNE,7694.6337585059
Mongolia,MNG,4060.95051770038
Northern Mariana Islands,MNP,
Mozambique,MOZ,448.843891366822
Mauritania,MRT,1702.48695898248
Mauritius,MUS,8632.75285872458
Malawi,MWI,636.286309590051
Malaysia,MYS,10412.3476677499
North America,NAC,61000.8552589461
Namibia,NAM,4157.01950619148
New Caledonia,NCL,34694.5504017028
Niger,NER,567.669892261611
Nigeria,NGA,2097.09247289022
Nicaragua,NIC,1900.04359427589
Netherlands,NLD,52396.0322099525
Norway,NOR,67329.6777910967
Nepal,NPL,1147.47197125836
Nauru,NRU,10580.2681883905
New Zealand,NZL,41596.5055023403
OECD members,OED,38116.4222248183
Oman,OMN,14485.3861157973
Other small states,OSS,11792.0664241862
Pakistan,PAK,1359.51452156874
Panama,PAN,12509.8352912602
Peru,PER,6117.49357129272
Philippines,PHL,3301.21860257673
Palau,PLW,14243.8646915764
Papua New Guinea,PNG,2757.01101864579
Poland,POL,15742.4537256368
Pre-demographic dividend,PRE,1349.15316019379
Puerto Rico,PRI,31429.8661176558
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,22194.566114935
Paraguay,PRY,4967.68721171529
West Bank and Gaza,PSE,3233.56863835858
Pacific island small states,PSS,3785.50340580673
Post-demographic dividend,PST,44330.3116982257
French Polynesia,PYF,20182.5845029164
Qatar,QAT,50124.3859361728
Romania,ROU,12956.5662477568
Russian Federation,RUS,10161.982421875
Rwanda,RWA,786.301814784707
South Asia,SAS,1875.44139149022
Saudi Arabia,SAU,20203.6688777651
Sudan,SDN,615.462097167969
Senegal,SEN,1462.80816888438
Singapore,SGP,60729.4503486794
Solomon Islands,SLB,2250.6011638607
Sierra Leone,SLE,509.376593987322
El Salvador,SLV,3798.63652082321
San Marino,SMR,45515.7576957013
Somalia,SOM,438.255165584868
Serbia,SRB,7730.69174637698
Sub-Saharan Africa (excluding high income),SSA,1500.85264844909
South Sudan,SSD,
Sub-Saharan Africa,SSF,1501.77942150021
Small states,SST,10787.6687294932
Sao Tome and Principe,STP,2157.84044569668
Suriname,SUR,4916.60566637918
Slovak Republic,SVK,19266.5135736247
Slovenia,SVN,25489.5002284083
Sweden,SWE,52300.2061994993
Eswatini,SWZ,3434.72179830295
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,12193.8868736001
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,23879.9266491038
Chad,TCD,652.349209585738
East Asia & Pacific (IDA & IBRD countries),TEA,8361.93814697081
Europe & Central Asia (IDA & IBRD countries),TEC,8406.89091077412
Togo,TGO,914.950792453214
Thailand,THA,7158.76668372256
Tajikistan,TJK,852.830987774963
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,7062.47559044946
Timor-Leste,TLS,1442.73073825015
Middle East & North Africa (IDA & IBRD countries),TMN,3189.79540382642
Tonga,TON,4624.82344882844
South Asia (IDA & IBRD),TSA,1875.44139149022
Sub-Saharan Africa (IDA & IBRD countries),TSS,1501.77942150021
Trinidad and Tobago,TTO,15285.9404867715
Tunisia,TUN,3597.21852540455
Turkiye,TUR,8536.43331960632
Tuvalu,TUV,4668.81874310357
Tanzania,TZA,1076.4697265625
Uganda,UGA,822.027681531666
Ukraine,UKR,3751.74072265625
Upper middle income,UMC,9166.46085400957
Uruguay,URY,15418.8153089096
United States,USA,63027.6795267153
Uzbekistan,UZB,1749.65581532206
St. Vincent and the Grenadines,VCT,7860.82135437107
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,39552.1685953523
Vietnam,VNM,3526.27457939624
Vanuatu,VUT,2919.83679998348
World,WLD,10936.0574657438
Samoa,WSM,4068.07886505264
Kosovo,XKX,4310.81118337317
"Yemen, Rep.",YEM,631.681490044125
South Africa,ZAF,5655.86765390396
Zambia,ZMB,985.132436038869
Zimbabwe,ZWE,1214.50982023534
